,age,fnlwgt,educational-num,capital-gain,capital-loss,hours-per-week,education_cat,workclass_cat,marital-status_cat,occupation_cat,relationship_cat,race_cat,gender_cat,native-country_cat
49,56,131916.0,9,0,0,50,11,3,6,3,1,4,0,38
50,18,54440.0,10,0,0,20,15,2,4,7,3,4,1,38
51,39,280215.0,9,0,0,40,11,2,0,5,3,2,1,38
52,21,214398.99999999997,10,0,1721,24,15,2,4,7,3,4,0,38
53,22,54164.0,9,14084,0,60,11,2,4,7,1,4,1,38
54,38,219446.0,5,0,0,54,6,2,3,3,1,4,1,25
55,21,110677.0,10,0,0,40,15,2,4,0,3,4,0,38
56,63,145985.0,9,0,0,40,11,2,2,2,0,4,1,38
57,34,382078.0,13,3103,0,50,9,1,2,3,0,4,1,38
58,42,170721.0,9,5178,0,50,11,3,2,3,0,4,1,38
59,33,269705.0,9,0,0,40,11,2,2,5,0,4,1,38
60,30,101135.0,13,0,0,50,9,2,4,3,1,4,0,38
61,39,118429.0,10,0,0,40,15,2,0,11,1,4,1,38
62,26,31208.0,14,0,0,40,12,2,4,3,1,4,0,38
63,33,281384.0,9,0,0,40,11,2,4,6,3,4,0,38
64,47,171807.0,9,0,0,40,11,1,0,0,1,4,0,38
66,41,445382.0,12,15024,0,60,7,3,2,2,0,4,1,38
67,19,105460.0,10,0,0,20,15,2,4,7,3,4,1,38
68,46,170338.0,9,0,0,40,11,2,5,13,1,4,1,38
69,43,102606.0,9,0,0,48,11,2,2,11,0,4,1,38
70,55,323887.0,10,15024,0,45,15,2,2,3,0,4,1,38
71,46,175622.0,11,0,0,40,8,2,2,12,0,4,1,38
72,30,229636.0,9,0,0,40,11,2,2,6,0,4,1,25
73,21,388946.0,10,0,0,40,15,2,5,5,1,4,0,38
74,46,269034.0,10,0,0,40,15,2,2,2,0,3,1,5
76,41,75012.0,9,0,0,50,11,2,2,6,0,4,1,38
77,69,174379.0,9,0,0,30,11,3,2,11,0,4,1,38
78,50,312477.0,9,0,0,40,11,2,2,13,0,4,1,38
79,20,72055.0,10,0,0,40,15,2,4,0,1,4,0,38
80,45,67001.0,10,0,0,50,15,3,2,6,0,4,1,38
81,23,213733.99999999997,13,0,0,40,9,2,4,3,1,4,1,38
82,24,83141.0,10,0,1876,40,15,2,5,7,1,4,1,38
84,31,113752.0,10,0,0,50,15,4,2,2,0,4,1,38
85,43,170482.0,9,0,0,44,11,2,5,6,1,4,0,38
86,20,244689.0,7,0,0,10,1,0,4,7,3,4,0,38
87,55,160631.0,9,0,0,56,11,2,2,11,0,4,1,38
88,24,228723.99999999997,10,0,0,40,15,0,4,1,1,4,1,38
90,59,292946.0,13,0,0,25,9,2,4,3,1,4,0,38
91,49,77443.0,4,0,0,20,5,0,4,7,1,2,1,38
92,33,176410.0,14,5178,0,10,12,2,2,9,5,4,0,38
93,59,98984.0,13,0,0,40,9,0,0,0,1,4,1,38
94,34,198751.0,14,0,0,40,12,2,4,7,1,0,1,38
95,20,479296.0,9,0,0,40,11,2,4,5,3,4,1,38
96,25,235218.0,13,0,0,40,9,2,4,3,3,4,0,38
97,49,164877.0,6,0,0,40,0,2,2,4,0,4,1,38
98,59,272087.0,9,0,0,40,11,2,2,13,0,4,1,38
99,20,169699.0,9,0,0,40,11,2,4,0,1,4,0,38
101,33,202191.0,10,0,0,35,15,2,4,0,4,2,0,38
102,22,212261.0,10,0,0,39,15,2,4,13,3,2,1,38
103,58,301568.0,5,0,0,40,6,4,6,7,1,4,0,38
104,52,155233.0,9,0,0,28,11,1,6,0,4,4,0,38
105,36,75826.0,6,0,0,40,0,2,5,6,1,4,0,38
106,41,201520.0,9,0,0,40,11,1,2,10,0,4,1,38
107,28,154236.0,9,2597,0,40,11,2,4,13,3,4,1,38
108,19,289227.0,10,0,0,16,15,2,4,5,3,2,1,38
109,18,217439.0,9,0,0,28,11,2,4,7,1,4,0,38
110,18,179020.0,9,0,0,48,11,2,4,6,3,4,0,38
111,28,149624.0,10,0,0,40,15,2,2,2,0,4,1,38
112,29,337266.0,11,0,0,40,8,2,2,3,0,4,1,38
114,40,103541.0,10,0,0,40,15,2,2,5,0,4,1,38
115,26,206721.0,9,0,0,40,11,2,4,5,4,4,1,38
116,46,96773.0,9,0,0,40,11,2,2,2,0,4,1,38
117,23,200967.0,7,0,0,24,1,2,4,7,1,4,0,38
118,44,180019.0,9,0,0,40,11,2,3,0,4,4,0,38
119,43,179866.0,13,0,0,40,9,2,0,11,4,4,0,38
120,31,198769.99999999997,13,0,0,60,9,1,0,9,4,4,0,38
121,18,219256.0,10,0,0,25,15,2,4,11,3,4,0,38
122,19,248729.99999999997,10,0,0,30,15,2,4,10,3,4,1,38
123,41,110732.0,10,0,0,40,15,2,0,12,1,4,0,38
124,41,181020.0,9,0,0,40,11,2,0,5,4,4,0,38
125,69,183791.0,9,0,0,25,11,2,0,0,1,4,0,38
126,48,42972.0,16,0,0,40,10,0,2,9,5,4,0,38
127,28,134813.0,9,0,0,40,11,2,4,9,3,4,1,38
128,27,115438.0,9,0,0,60,11,4,2,2,0,4,1,20
129,41,239296.0,14,0,2415,50,12,2,2,9,0,4,1,38
130,41,428420.0,10,0,0,40,15,2,2,0,0,4,1,38
131,24,247846.0,9,0,0,40,11,2,4,2,4,2,0,38
133,42,100793.0,16,0,0,41,10,3,2,9,0,4,1,38
134,57,244478.0,9,0,0,48,11,2,2,2,0,2,1,38
135,30,142921.0,12,0,0,40,7,2,4,9,1,4,0,38
136,36,182863.0,9,0,0,60,11,2,2,11,0,4,1,38
137,49,171128.0,4,0,0,40,5,2,2,6,0,2,1,38
138,33,145402.0,9,0,0,35,11,2,2,6,5,4,0,38
139,23,306309.0,6,0,0,40,0,2,2,4,0,4,1,38
140,46,83822.0,14,0,0,40,12,2,2,9,0,4,1,38
141,18,262118.0,10,0,0,22,15,2,4,0,3,1,0,10
142,40,155972.0,9,7688,0,55,11,2,2,3,0,4,1,38
143,43,214503.00000000003,9,0,1887,45,11,3,2,3,0,4,1,38
144,34,159303.0,14,0,0,30,12,2,4,9,3,4,0,38
145,47,174995.0,9,0,0,30,11,4,6,3,1,4,0,38
146,44,26669.0,11,0,0,30,8,2,6,3,4,4,0,38
147,33,177727.0,9,0,0,40,11,2,2,11,0,4,1,38
148,55,124771.0,13,15024,0,50,9,2,2,3,0,4,1,38
149,19,456736.0,9,2907,0,30,11,2,4,11,1,4,1,38
150,28,216603.99999999997,10,0,0,14,15,2,4,7,1,2,1,38
151,27,221561.0,7,0,0,32,1,2,2,7,5,2,0,38
152,50,114564.0,4,0,0,20,5,2,2,6,0,4,1,38
153,22,315476.0,7,0,0,40,1,2,4,2,4,4,1,38
154,40,67874.0,13,0,1887,45,9,5,2,0,0,4,1,38
155,25,126110.0,10,0,0,40,15,2,4,0,3,4,0,38
156,26,102264.0,9,0,0,40,11,1,4,2,1,4,1,38
157,22,537222.0,13,0,0,25,9,2,4,11,1,4,1,38
158,42,113732.0,10,0,625,40,15,2,4,5,4,2,0,38
159,38,93225.0,13,0,0,40,9,3,0,3,1,4,1,38
160,55,43064.0,7,0,0,30,1,2,2,7,0,4,1,38
161,32,136921.0,9,0,0,40,11,2,2,11,0,4,1,38
162,22,388885.00000000006,9,0,0,45,11,2,2,2,0,4,1,38
163,29,142249.0,13,0,0,40,9,2,4,11,3,4,1,38
164,46,56841.0,14,0,0,45,12,5,2,3,0,4,1,38
165,31,156493.0,10,0,0,40,15,2,2,3,0,4,1,38
166,58,159021.0,16,0,0,16,10,4,2,9,0,4,1,38
167,42,190910.0,9,0,0,45,11,2,2,2,0,4,1,38
168,18,41879.0,9,0,0,25,11,2,4,5,4,4,1,38
169,58,137249.0,9,0,0,33,11,1,0,3,1,4,1,38
170,54,236157.0,9,0,1887,40,11,2,2,9,0,4,1,38
171,34,189759.0,14,0,0,40,12,2,4,9,1,4,1,38
172,26,239877.0,13,0,0,40,9,2,4,0,1,4,0,38
173,61,21175.0,8,0,0,60,2,2,2,3,0,4,1,38
174,48,67229.0,14,0,0,40,12,1,5,0,4,2,0,38
175,36,236391.0,10,0,0,45,15,2,2,3,0,4,1,38
176,24,325596.0,11,0,0,45,8,2,2,6,0,4,1,38
177,40,83411.0,10,0,0,37,15,2,2,6,0,4,1,38
178,33,154227.0,9,0,0,50,11,3,2,11,0,4,1,38
179,37,248010.0,10,0,1887,40,15,2,2,6,0,4,1,38
180,34,198612.99999999997,14,4650,0,40,12,2,4,3,3,4,1,38
181,56,321529.0,10,15024,0,40,15,3,2,3,0,4,1,38
183,37,203079.0,13,0,0,55,9,2,6,3,1,4,0,38
184,44,284652.0,9,0,0,40,11,2,0,11,4,2,0,38
186,54,59839.99999999999,9,0,0,45,11,2,0,5,1,4,1,38
187,23,52753.0,9,0,0,50,11,2,4,6,1,4,1,38
189,22,199266.0,9,0,0,45,11,2,4,7,1,4,0,38
190,33,196385.0,13,0,1977,40,9,2,2,3,0,4,1,38
191,39,163205.0,13,0,0,50,9,2,5,9,1,4,1,38
192,47,411047.0,10,0,0,37,15,2,0,0,1,2,0,38
194,26,209439.99999999997,9,0,0,55,11,2,4,9,4,2,0,38
195,31,56964.0,10,0,0,40,15,2,0,3,4,4,0,38
196,44,299197.0,10,0,0,45,15,2,4,13,1,4,1,38
197,42,240628.0,15,0,0,50,14,3,2,9,5,4,0,38
198,19,355313.0,9,0,0,40,11,2,4,6,1,4,0,38
199,27,132267.0,9,0,0,40,11,2,2,5,0,4,1,38
200,51,174861.0,10,0,0,40,15,1,2,10,0,4,1,38
201,28,142443.0,13,0,0,50,9,3,2,3,0,4,1,38
202,57,26716.0,13,0,0,45,9,2,0,2,1,4,1,38
203,45,185588.0,13,0,0,40,9,1,0,9,4,4,0,38
204,50,175029.0,11,0,0,40,8,2,2,9,0,4,1,38
205,34,34848.0,13,0,0,54,9,3,2,11,0,4,1,38
206,45,411273.00000000006,4,0,0,40,5,2,2,2,0,2,1,38
207,73,143437.0,9,0,0,20,11,1,2,3,0,4,1,38
208,34,357145.0,13,0,0,50,9,2,2,9,5,4,0,38
209,31,236860.99999999997,10,0,0,55,15,2,2,11,0,4,1,38
210,19,53355.0,7,0,0,12,1,2,4,11,1,4,1,38
211,25,29106.0,10,0,0,50,15,2,4,7,3,4,0,38
212,38,213274.0,11,6497,0,40,8,0,0,2,4,4,0,38
213,39,22463.0,13,0,0,40,9,2,2,13,0,4,1,38
214,23,180497.0,13,0,0,32,9,2,4,12,3,2,0,38
215,49,37306.0,9,0,0,40,11,2,2,6,0,4,1,38
216,33,137814.0,9,0,0,32,11,0,4,7,1,4,1,38
217,21,447488.0,3,0,0,38,4,2,4,6,2,4,1,25
218,31,220914.99999999997,11,0,0,40,8,2,5,2,1,4,1,38
219,23,42251.0,13,0,0,45,9,2,4,3,1,4,0,38
220,34,162312.0,13,0,0,40,9,2,2,0,0,1,1,29
221,25,77698.0,9,0,0,40,11,2,4,6,1,1,0,29
222,39,282951.0,9,0,0,40,11,2,4,2,4,4,1,38
223,52,311259.0,9,0,0,40,11,3,2,11,0,4,1,38
224,63,65479.00000000001,5,7688,0,40,6,1,2,13,0,4,1,38
225,41,277256.0,10,0,0,40,15,2,2,2,0,4,1,38
226,46,312088.0,13,15024,0,38,9,2,2,9,0,4,1,38
227,53,169719.0,9,0,0,40,11,1,2,3,0,4,1,38
230,18,96869.0,8,0,0,40,2,2,4,8,3,4,1,38
231,38,237943.0,15,0,0,50,14,2,2,9,0,4,1,38
232,55,119751.0,14,0,0,50,12,2,4,3,4,1,0,36
233,34,236860.99999999997,9,0,0,40,11,2,2,12,0,4,1,38
234,80,201092.0,9,0,0,30,11,4,2,7,0,4,1,38
235,34,147215.0,11,0,0,60,8,2,0,12,4,4,0,38
236,52,152373.0,10,5013,0,40,15,2,2,12,0,4,1,38
237,42,227968.0,9,0,0,28,11,2,4,7,4,2,0,13
238,26,362617.0,10,0,0,40,15,2,4,11,1,4,0,38
239,31,103435.0,9,0,0,40,11,2,2,13,0,4,1,38
240,25,281412.0,9,0,0,35,11,1,4,7,3,4,0,38
241,55,105239.0,9,0,2057,60,11,4,2,2,0,4,1,38
242,19,230165.00000000003,10,0,0,12,15,2,4,7,3,4,0,38
243,62,177493.0,10,0,0,32,15,4,2,13,0,4,1,38
244,22,104443.0,10,0,0,20,15,0,4,0,3,4,0,38
246,35,143385.0,9,0,0,40,11,2,2,5,0,4,1,38
247,28,107189.00000000001,9,0,0,40,11,2,2,11,3,4,0,38
248,47,212944.0,9,0,0,70,11,2,2,13,0,4,1,38
249,44,138634.0,9,0,0,40,11,5,2,6,0,4,1,38
250,21,99970.0,10,0,0,15,15,2,4,11,3,4,1,38
251,35,203717.0,11,0,0,50,8,2,4,2,1,4,1,38
252,24,313956.0,13,0,0,40,9,2,2,9,0,4,1,38
254,28,193868.0,13,0,0,50,9,2,4,12,3,4,1,38
255,21,250938.99999999997,10,0,0,35,15,2,4,6,2,4,1,38
256,62,57629.0,10,4650,0,40,15,0,0,12,1,2,1,38
257,39,281768.0,9,0,0,40,11,2,4,7,1,2,0,38
258,30,260782.0,9,0,0,40,11,5,4,7,1,4,1,38
259,72,243769.0,15,0,1429,20,14,4,4,9,1,4,1,38
260,50,109937.0,10,0,0,50,15,2,2,3,5,4,0,38
261,28,134890.0,14,0,0,40,12,1,4,9,1,4,1,38
262,29,100293.0,10,0,0,40,15,2,4,9,1,4,0,38
263,26,132179.0,13,0,0,40,9,2,4,0,3,4,0,38
264,27,116372.0,14,0,0,40,12,2,4,3,1,4,0,38
265,29,255412.0,10,3103,0,40,15,2,2,5,0,4,1,38
267,29,342400.0,6,0,0,25,0,2,2,2,0,4,1,38
269,31,169085.0,7,0,0,20,1,2,2,11,5,4,0,38
270,25,177221.0,9,0,0,75,11,2,2,3,0,4,1,38
271,58,65325.0,6,0,0,40,0,2,2,13,0,4,1,38
272,64,118944.0,10,0,0,40,15,2,2,3,5,4,0,38
273,46,149337.0,14,0,0,38,12,5,4,3,1,4,1,38
275,19,106182.99999999999,9,0,0,35,11,2,4,7,3,0,0,38
276,42,226388.0,9,0,0,52,11,2,0,7,1,2,1,38
277,18,220754.0,7,0,0,24,1,2,4,5,3,4,1,38
278,58,204021.0,13,15024,0,50,9,3,2,2,0,4,1,38
279,20,347391.0,10,0,0,60,15,2,4,10,1,2,1,38
280,35,413930.00000000006,9,0,0,40,11,0,2,2,0,4,1,38
281,32,174201.0,9,0,0,38,11,2,2,5,0,4,1,38
282,23,145917.0,9,0,0,25,11,2,4,5,1,4,0,38
283,31,241797.00000000003,10,0,0,40,15,2,0,12,4,4,0,38
284,33,265168.0,13,0,0,55,9,2,2,11,0,2,1,38
285,41,171234.0,10,0,0,48,15,2,4,6,1,4,0,38
286,22,178452.0,9,0,0,40,11,2,4,6,3,2,1,38
287,46,157857.0,10,0,0,40,15,2,2,10,0,4,1,38
288,61,512864.0,10,0,0,40,15,0,2,13,0,2,1,38
289,30,296462.0,9,0,0,40,11,2,4,3,1,2,1,38
290,42,171615.0,9,0,0,55,11,2,2,3,0,4,1,38
291,63,214071.0,6,0,0,40,0,2,2,5,0,4,1,38
292,26,172421.0,10,0,0,40,15,2,2,11,0,4,1,38
293,42,195488.0,6,0,0,40,0,2,0,0,4,4,0,38
294,23,316841.0,10,0,0,40,15,2,2,7,0,4,1,38
295,25,236267.0,9,0,1590,40,11,2,4,6,4,4,1,38
296,30,236543.0,5,0,0,32,6,2,2,7,0,4,1,7
297,23,318483.0,9,0,0,40,11,2,4,11,3,4,1,38
298,34,163756.0,11,27828,0,60,8,4,4,4,1,4,1,38
299,30,238186.0,9,0,2057,48,11,2,2,6,2,4,1,38
300,39,329980.0,10,0,0,40,15,2,2,2,0,4,1,38
301,30,169269.0,7,0,1721,38,1,2,4,5,2,4,1,32
302,38,34744.0,10,0,0,38,15,1,0,0,4,4,0,38
303,26,98114.0,9,0,0,40,11,2,0,3,3,4,0,38
304,20,109667.0,10,0,0,16,15,2,4,5,3,4,1,38
306,33,147430.0,9,0,0,40,11,2,2,0,3,4,0,38
307,24,224238.0,13,0,0,40,9,2,4,0,3,4,1,38
308,42,212894.0,13,0,0,60,9,3,2,3,0,4,1,38
309,51,136708.0,9,3103,0,84,11,4,2,11,0,1,1,39
310,56,38573.0,12,0,0,45,7,1,2,12,0,4,1,38
311,22,197200.0,10,0,0,40,15,2,4,5,3,4,1,38
312,52,182796.0,10,0,0,60,15,4,2,4,0,4,1,38
313,44,184527.0,13,4934,0,45,9,2,0,3,4,4,0,38
314,34,145231.0,9,4064,0,35,11,2,2,0,5,4,0,38
315,51,43354.0,10,0,0,42,15,2,0,2,1,4,1,38
317,19,355712.0,10,0,0,25,15,2,4,11,1,4,0,38
318,37,98776.0,13,0,0,40,9,2,2,3,0,4,1,38
319,68,257557.0,9,0,0,40,11,2,2,6,0,2,1,38
320,22,102258.0,10,0,0,40,15,2,0,10,1,4,1,38
321,56,170287.0,13,0,0,40,9,3,2,3,0,4,1,38
322,37,243409.0,9,0,0,40,11,2,2,2,0,4,1,38
323,52,55608.0,2,0,0,40,3,2,2,6,0,4,1,25
324,26,248057.0,9,0,0,40,11,2,5,5,3,4,1,32
325,33,95530.0,14,0,0,50,12,2,2,9,0,4,1,38
326,45,54038.0,14,0,0,42,12,1,0,9,4,4,0,38
327,18,161245.0,7,0,0,15,1,2,4,7,3,4,1,38
328,43,388725.0,10,0,0,60,15,4,2,4,0,4,1,38
330,18,228215.99999999997,9,0,0,20,11,2,4,5,3,4,1,38
332,57,78020.0,9,0,0,40,11,2,2,2,0,4,1,38
333,41,249254.0,9,3674,0,42,11,2,0,0,4,4,0,38
334,34,87218.0,14,0,1887,50,12,2,2,3,0,4,1,38
335,19,304299.0,9,0,0,40,11,2,4,11,4,4,0,38
336,44,196234.0,5,0,0,55,6,2,0,7,4,4,0,5
337,56,197875.0,6,0,0,40,0,2,6,7,4,4,0,38
338,36,48063.0,9,0,0,80,11,3,2,4,0,4,1,38
339,48,253596.00000000003,13,0,0,48,9,2,0,3,4,4,0,38
340,29,39257.0,9,0,0,40,11,2,2,13,0,4,1,38
341,33,56150.0,13,2174,0,40,9,2,4,2,1,4,1,38
342,31,179415.0,3,0,0,40,4,2,2,7,0,4,1,25
343,39,252445.0,14,0,0,45,12,2,2,9,0,4,1,38
344,66,275918.0,9,10605,0,40,11,2,2,3,0,4,1,38
345,27,106562.0,13,0,0,50,9,2,4,9,1,4,0,38
346,39,198654.00000000003,9,99999,0,40,11,2,0,3,4,2,0,38
347,59,107318.0,4,5178,0,50,5,2,2,2,0,4,1,38
348,26,181896.0,9,0,0,40,11,2,4,7,3,4,0,38
349,31,106014.0,11,0,0,40,8,2,0,2,4,4,1,38
351,23,197997.0,9,0,0,30,11,2,4,5,3,4,1,38
352,36,173542.0,9,0,0,40,11,1,0,0,4,4,0,38
353,34,207564.0,10,0,0,12,15,2,2,7,5,4,0,38
354,32,224462.0,9,0,0,84,11,2,2,13,0,4,1,38
355,37,123361.0,13,0,0,50,9,2,2,9,0,2,1,38
356,33,90409.0,13,0,0,45,9,2,4,11,1,4,1,38
357,50,165001.0,15,99999,0,80,14,4,2,9,0,4,1,38
358,32,149573.0,12,0,0,40,7,0,4,10,1,2,1,38
359,35,249456.0,13,0,0,40,9,2,4,0,3,2,0,38
360,37,149898.0,7,0,0,40,1,2,2,2,0,4,1,38
361,44,292985.0,10,0,0,60,15,2,0,2,1,4,1,38
362,57,50223.0,10,0,0,25,15,2,0,5,2,4,1,38
363,29,400074.0,10,0,0,40,15,1,2,3,3,4,0,38
364,55,197399.0,9,0,0,50,11,2,2,2,0,4,1,38
365,43,209546.99999999997,15,0,0,25,14,3,2,9,0,4,1,38
366,43,52433.0,10,0,0,70,15,2,2,11,0,4,1,38
367,45,355978.0,10,0,0,60,15,4,2,11,0,4,1,38
368,33,48214.0,14,0,0,8,12,4,2,9,5,4,0,38
369,26,190873.0,6,0,0,40,0,2,0,7,4,4,0,10
370,23,278390.0,10,0,0,68,15,2,2,11,0,4,1,38
371,41,203217.0,4,0,0,40,5,2,5,2,1,4,1,25
372,24,279175.0,9,0,0,40,11,2,2,2,0,4,1,38
373,47,194590.0,13,0,0,44,9,4,2,11,0,4,1,38
374,34,198813.0,9,0,0,45,11,4,4,2,3,4,1,38
375,40,187294.0,9,0,0,40,11,2,2,3,0,4,1,38
376,28,302903.0,13,0,1485,40,9,2,2,9,5,1,0,38
377,24,154835.0,9,0,0,40,11,2,4,3,3,1,0,34
379,23,100345.0,9,0,0,15,11,2,4,2,2,4,1,38
380,43,126320.0,9,0,0,40,11,4,2,3,0,2,1,38
381,26,142226.0,13,0,0,40,9,2,0,12,1,4,0,38
382,58,112076.00000000001,16,0,1485,35,10,4,1,3,5,4,0,38
383,52,225338.99999999997,9,0,0,35,11,2,6,0,4,2,0,38
384,29,211208.00000000003,7,0,0,99,1,2,2,13,0,4,1,38
385,47,200808.0,7,0,0,35,1,2,2,7,0,4,1,3
386,49,220618.00000000003,9,0,0,37,11,2,0,0,4,2,0,38
387,40,210493.00000000003,7,0,0,40,1,2,6,0,4,4,0,38
388,62,369734.0,9,0,0,40,11,4,2,0,5,4,0,38
389,49,27898.0,9,0,1977,55,11,2,2,3,0,4,1,38
390,50,138193.0,13,0,0,50,9,2,0,9,2,4,0,38
391,31,224234.0,9,0,0,40,11,2,4,13,3,2,1,38
392,48,188741.0,14,0,0,50,12,1,4,9,1,4,0,38
393,24,183772.0,9,0,0,40,11,2,4,2,4,4,0,38
395,37,79586.0,9,0,0,60,11,2,5,6,3,1,1,38
396,45,355781.0,13,0,0,45,9,2,2,3,0,1,1,23
398,36,116357.99999999999,14,0,0,45,12,2,2,3,0,1,1,18
399,45,59287.0,13,0,0,40,9,2,2,3,0,4,1,38
400,41,138868.0,13,0,0,40,9,2,4,11,1,4,0,38
401,26,185885.0,12,0,0,20,7,2,4,12,2,4,0,38
402,17,40299.0,7,0,0,25,1,2,4,11,3,4,0,38
404,43,51494.0,9,0,0,65,11,2,2,6,0,4,1,38
405,35,179481.0,9,0,0,55,11,2,4,13,3,4,1,38
406,38,365907.0,13,0,0,40,9,2,0,0,4,4,0,38
407,26,284343.0,9,0,0,40,11,2,4,6,1,4,1,38
408,28,204861.99999999997,10,0,0,40,15,2,4,3,3,4,0,38
409,38,272476.0,13,0,0,24,9,2,2,9,5,4,0,38
410,36,175130.0,7,0,0,40,1,2,0,13,4,4,0,38
411,33,118940.99999999999,9,0,0,40,11,2,2,0,5,4,0,38
412,19,164339.0,9,1055,0,70,11,2,4,5,3,4,1,38
414,42,55457.0,6,0,0,40,0,0,2,0,0,4,1,25
415,50,280292.0,6,0,0,40,0,2,2,13,0,4,1,38
416,30,446894.0,9,0,0,30,11,2,2,5,0,4,1,38
417,37,67083.0,10,0,0,40,15,5,2,9,2,1,1,0
418,54,159219.0,15,99999,0,40,14,3,2,9,0,4,1,38
419,52,168539.0,13,0,0,40,9,3,4,3,1,4,1,38
421,33,150309.0,9,0,0,40,11,2,0,2,1,4,0,38
422,25,122999.0,10,0,0,40,15,2,4,12,2,4,1,38
423,24,302195.0,13,0,0,45,9,2,4,11,1,4,1,38
424,26,210982.0,11,114,0,40,8,2,5,0,4,2,0,38
425,39,177140.0,9,0,0,40,11,2,5,0,1,4,1,38
426,59,113838.0,9,0,0,40,11,2,0,7,1,4,0,38
427,29,97165.0,10,0,0,40,15,2,4,0,4,4,0,38
428,47,104301.0,7,0,0,45,1,2,4,7,3,4,0,38
430,64,115931.0,9,0,0,50,11,3,2,13,0,4,1,38
431,21,147280.0,9,0,0,20,11,2,4,7,3,3,1,38
432,32,185433.0,10,0,0,40,15,2,2,0,5,2,0,38
433,26,599057.0,9,0,0,37,11,2,4,3,1,2,0,38
435,62,71467.0,14,0,0,40,12,4,2,9,0,4,1,38
436,32,183977.0,13,0,0,55,9,2,2,2,0,4,1,38
438,45,196858.0,9,0,0,60,11,4,2,3,0,4,1,38
439,31,160594.0,13,0,1887,50,9,2,2,3,0,4,1,38
440,32,65278.0,9,2580,0,40,11,2,2,0,0,4,1,38
441,24,102258.0,13,0,0,40,9,2,2,11,0,4,1,38
442,25,196947.0,13,0,0,40,9,2,4,11,3,4,0,38
443,41,233150.0,9,0,0,60,11,4,2,3,0,4,1,38
444,18,42857.0,10,0,0,20,15,2,4,11,3,4,0,38
445,44,118059.00000000001,16,0,0,55,10,2,2,9,0,4,1,38
446,40,169262.0,10,3411,0,50,15,2,2,3,0,4,1,38
447,27,95108.0,13,0,0,40,9,2,4,9,1,4,1,38
448,23,161092.0,13,0,0,40,9,2,4,0,3,4,1,38
449,21,345253.0,10,2174,0,40,15,2,4,0,1,3,1,38
450,37,111275.0,9,0,0,40,11,5,2,13,0,4,1,38
