,age,fnlwgt,educational-num,capital-gain,hours-per-week,education_cat,workclass_cat,marital-status_cat,occupation_cat,relationship_cat,race_cat,gender_cat,native-country_cat
57,28,157763.0,9,0,30,11,2,4,9,3,4,1,146
59,64,153417.0,9,0,39,11,2,2,9,0,4,1,146
60,50,136143.0,10,250,40,15,5,4,4,4,4,1,146
63,42,136938.0,10,0,40,15,5,4,0,1,4,0,146
65,37,231335.0,12,0,40,7,5,2,0,5,4,0,146
66,64,107288.0,9,0,40,11,2,0,6,1,4,0,146
67,49,177676.0,9,0,40,11,2,4,3,1,4,1,146
68,49,173989.0,11,0,40,8,2,0,0,1,4,0,146
69,24,192856.0,10,0,40,15,2,4,3,2,4,1,146
70,25,200025.0,9,0,30,11,2,4,9,2,4,1,146
71,60,180919.0,16,0,38,10,1,2,0,5,4,0,146
72,26,132966.0,10,0,40,15,5,4,6,4,2,0,146
73,28,183798.0,11,0,50,8,2,4,7,1,4,1,146
74,24,159683.0,12,0,40,7,2,4,7,1,4,1,146
75,22,198960.0,10,0,42,15,2,4,0,1,4,0,146
76,59,134812.0,13,0,40,9,5,2,8,0,4,1,146
77,31,162223.0,9,0,50,11,2,4,7,1,4,1,146
78,32,161781.0,10,0,40,15,2,4,10,1,4,1,146
79,39,147125.0,12,0,25,7,2,2,0,3,4,0,146
80,29,208857.0,9,0,50,11,2,4,2,4,4,1,146
81,29,175763.0,9,0,36,11,2,4,7,1,4,0,146
82,60,128191.0,13,0,44,9,2,2,8,0,4,1,146
83,25,191393.0,10,1000,36,15,5,4,6,4,4,0,146
84,34,148059.0,10,2500,78,15,2,4,4,1,4,1,146
85,59,189736.0,13,0,40,9,1,2,8,5,4,0,146
86,63,189038.0,13,0,40,9,2,2,9,0,4,1,146
87,54,240282.0,10,0,40,15,2,4,8,1,4,1,146
88,25,200037.0,10,0,40,15,2,4,2,1,4,1,146
89,24,219907.0,10,0,30,15,2,4,6,1,4,1,146
90,44,142037.0,9,0,40,11,2,0,0,3,4,0,146
91,55,170060.0,9,0,27,11,1,2,10,5,4,0,146
92,77,121564.0,9,0,42,11,1,0,6,4,4,0,146
93,38,137538.0,9,0,40,11,2,2,8,0,4,1,146
94,51,151834.0,9,100,20,11,2,0,6,1,4,0,146
95,48,171318.0,9,0,50,11,2,0,9,1,4,1,146
96,60,114840.0,13,0,45,9,1,4,8,1,4,0,146
97,51,112954.0,14,0,40,12,1,2,8,5,4,0,146
98,41,136946.0,13,0,40,9,5,4,4,1,4,0,146
99,58,131382.0,10,0,40,15,0,4,7,1,4,1,146
100,31,149684.0,13,0,35,9,2,4,6,4,4,0,146
101,28,191404.0,10,0,40,15,2,2,7,5,4,0,146
103,28,201383.0,10,0,40,15,2,4,6,4,4,1,146
104,31,144320.0,13,0,36,9,2,4,8,1,4,0,146
105,54,136151.0,13,0,45,9,5,5,8,1,4,1,146
106,43,161880.0,9,0,50,11,3,4,9,4,4,1,146
107,37,179293.0,9,0,40,11,2,4,9,1,4,0,146
108,54,173848.0,9,0,40,11,2,4,0,1,4,1,146
109,56,172083.0,9,3000,70,11,3,2,2,0,4,1,146
110,23,173742.0,10,0,60,15,2,4,2,3,4,1,146
111,53,112954.0,14,0,40,12,2,2,4,5,4,0,146
112,53,122431.0,14,0,40,12,5,2,8,5,4,0,146
113,59,108686.0,13,0,25,9,2,4,8,4,4,0,146
114,22,173742.0,13,0,40,9,2,4,10,1,4,1,146
115,56,131382.0,9,0,40,11,2,2,9,0,4,1,29
118,38,142650.0,9,0,40,11,2,4,6,1,4,1,146
119,21,198971.0,10,0,40,15,2,4,4,1,4,0,146
120,27,157772.0,12,0,40,7,2,4,7,1,4,1,146
121,35,155051.0,12,0,40,7,2,4,3,4,4,1,146
122,37,147133.0,12,0,38,7,2,4,6,1,4,0,146
123,65,179994.0,9,0,20,11,2,2,6,0,4,1,146
125,67,121311.0,12,0,20,7,4,2,4,0,4,1,146
126,36,134253.0,13,0,55,9,5,5,8,1,4,1,146
127,27,209414.0,14,0,55,12,5,0,8,1,4,0,146
128,69,101616.0,14,0,20,12,2,2,6,5,4,0,146
129,51,146310.0,13,0,50,9,5,2,8,5,4,0,146
130,22,161420.0,10,0,50,15,2,4,7,3,4,1,146
131,78,121913.0,13,0,26,9,2,2,10,0,4,1,146
132,43,166484.0,9,0,40,11,2,2,8,0,4,1,146
133,74,176717.0,14,0,20,12,4,2,4,0,4,1,146
136,65,109670.0,16,0,40,10,0,4,0,1,4,0,146
137,45,118533.0,12,0,25,7,4,2,9,5,4,0,146
138,22,194106.0,10,0,40,15,2,4,4,3,4,1,146
139,46,105740.0,9,0,40,11,2,0,6,4,4,0,146
140,18,168560.0,7,0,35,1,2,4,6,3,4,0,146
141,56,120769.0,11,0,40,8,2,0,2,1,4,1,146
142,46,159168.0,9,0,40,11,2,4,10,1,4,1,146
143,25,253496.0,15,0,45,14,5,4,8,1,4,0,146
144,32,170509.0,13,0,30,9,2,4,8,1,4,1,146
145,28,185850.0,10,0,50,15,2,4,4,1,4,1,146
146,48,118533.0,9,0,25,11,2,2,6,5,4,0,146
147,74,92830.0,10,0,20,15,4,6,8,4,4,0,146
148,49,120695.0,11,0,35,8,3,0,4,3,4,1,146
149,50,155729.0,9,0,40,11,5,4,10,1,4,1,146
150,64,137436.0,10,0,40,15,2,2,7,0,4,1,146
151,39,181013.0,13,0,40,9,2,0,0,1,4,1,146
152,39,239708.0,10,0,40,15,2,0,0,1,4,0,146
154,42,226410.0,14,0,40,12,0,2,8,5,4,0,146
155,46,161659.0,12,0,40,7,2,0,4,4,4,0,146
156,17,199147.0,7,0,10,1,2,4,6,3,4,0,146
157,56,125259.0,11,0,40,8,2,2,6,0,4,1,146
158,59,111830.0,13,0,60,9,2,0,8,1,4,0,146
159,64,142544.0,9,0,20,11,2,0,6,1,4,1,146
160,45,128753.0,14,0,50,12,1,2,8,0,4,1,146
161,37,239708.0,13,0,40,9,2,2,8,5,4,0,146
162,34,230948.0,14,0,52,12,5,4,8,1,4,0,146
163,39,181013.0,13,0,50,9,2,0,8,1,4,1,146
164,26,253496.0,9,0,40,11,2,2,9,5,4,0,146
165,27,253496.0,13,0,36,9,2,0,8,1,4,0,146
166,30,170509.0,10,0,45,15,2,4,9,1,4,1,146
167,56,108577.0,10,0,30,15,2,0,8,4,4,0,146
168,78,109427.0,9,0,24,11,2,2,2,0,4,1,146
169,32,142680.0,9,0,50,11,2,4,5,1,4,1,146
170,55,204048.0,9,0,45,11,2,2,4,0,4,1,146
171,29,244409.99999999997,13,0,32,9,2,2,8,3,4,0,146
172,33,149534.0,10,0,15,15,2,4,0,4,4,0,146
173,45,143589.0,12,0,40,7,2,0,7,1,4,1,146
174,26,244409.99999999997,11,0,32,8,2,4,8,3,4,0,146
175,50,113748.0,10,0,40,15,2,2,4,5,4,0,146
176,27,187101.0,10,0,40,15,2,4,0,2,4,1,146
177,77,108895.0,9,0,18,11,2,0,9,1,4,0,146
178,54,136015.0,13,0,40,9,2,4,4,1,4,1,146
179,25,198320.0,9,0,35,11,2,4,4,1,4,0,146
180,63,100849.0,10,0,40,15,2,6,0,4,4,0,146
181,45,118533.0,9,0,40,11,2,4,4,3,4,0,146
182,65,109264.0,9,0,45,11,2,2,9,5,4,0,146
183,40,166484.0,9,0,40,11,2,4,7,1,4,1,146
184,80,139815.0,15,0,8,14,4,0,8,1,4,1,146
185,56,107822.0,10,0,40,15,4,6,6,4,4,0,146
186,31,168095.0,13,0,55,9,2,2,8,0,4,1,146
187,56,163872.0,10,0,40,15,2,2,8,5,4,0,146
188,43,149283.0,13,0,40,9,2,2,4,0,4,1,146
189,64,96112.0,11,0,20,8,3,2,0,5,4,0,146
190,52,223240.0,6,0,40,0,3,2,5,0,4,1,146
191,62,105791.0,14,3500,65,12,2,2,4,5,4,0,146
192,60,230297.0,13,0,36,9,2,0,10,1,4,1,43
193,52,215239.0,10,0,35,15,2,4,6,1,4,1,146
194,59,176280.0,13,0,40,9,2,0,6,1,4,0,146
195,30,162070.0,13,0,40,9,1,4,8,1,4,1,146
196,30,144175.0,14,0,40,12,2,4,4,1,4,0,146
197,59,100245.0,9,0,60,11,2,0,6,3,2,0,129
198,40,193537.0,13,0,25,9,2,2,0,5,4,0,146
199,47,117925.0,13,3000,40,9,2,4,4,1,4,0,146
200,80,114460.0,13,0,45,9,1,2,8,5,4,0,146
201,27,296487.0,13,0,50,9,2,2,8,5,1,0,146
202,79,174932.0,14,0,20,12,2,0,6,1,4,0,146
203,46,118533.0,14,0,50,12,2,2,4,5,4,0,29
204,31,150727.0,11,0,40,8,2,0,8,2,4,1,110
205,60,106696.0,13,0,40,9,2,2,0,5,4,0,146
207,37,230605.0,13,0,45,9,2,2,8,0,1,1,150
208,38,141718.0,13,0,35,9,1,2,8,5,4,0,146
209,55,130130.0,14,0,20,12,2,4,8,1,3,0,146
210,29,147919.0,13,0,30,9,4,4,4,1,4,1,146
211,33,144175.0,14,0,45,12,1,4,8,1,4,0,146
212,25,169303.0,13,0,38,9,2,4,0,1,4,0,146
213,37,149345.0,13,0,50,9,2,4,4,1,4,1,146
214,28,185938.0,13,0,40,9,2,4,4,1,4,1,146
215,69,262662.0,13,0,40,9,1,2,8,0,3,1,142
216,44,158844.0,9,0,40,11,2,4,6,4,4,0,146
217,46,120695.0,7,0,20,1,2,4,2,1,4,1,146
218,45,120695.0,12,0,60,7,4,0,6,4,4,1,146
219,18,127751.0,10,0,15,15,2,4,6,3,4,1,146
220,17,168560.0,7,0,15,1,2,4,6,3,4,0,146
221,17,168560.0,6,0,15,0,2,4,6,3,4,0,146
222,40,158844.0,12,0,40,7,2,4,4,1,4,0,146
224,66,151358.0,9,0,15,11,1,0,6,1,4,0,146
225,49,133539.0,13,0,40,9,4,3,4,4,4,1,146
226,40,131963.0,14,0,25,12,2,3,8,1,4,0,146
227,59,108577.0,13,0,40,9,3,0,8,1,4,0,146
228,69,109264.0,11,0,16,8,2,6,10,1,4,0,146
229,37,134253.0,13,0,40,9,2,2,4,0,4,1,146
230,58,118878.0,14,0,40,12,5,6,4,1,4,0,31
231,35,197043.0,13,0,65,9,2,4,4,1,4,0,146
232,72,146646.0,13,0,18,9,2,6,8,1,4,0,146
233,59,154148.0,14,0,40,12,5,0,8,1,4,1,146
234,59,157999.0,14,0,50,12,1,0,4,1,4,0,146
235,61,114725.0,15,50,50,14,5,4,4,1,4,0,146
236,61,110662.0,13,0,40,9,2,2,9,5,4,0,146
237,27,240095.99999999997,13,0,40,9,2,2,4,5,4,0,146
238,47,132191.0,13,5000,45,9,4,4,0,1,4,0,146
239,35,166577.0,12,0,50,7,4,2,6,5,4,0,146
240,49,133539.0,14,0,35,12,4,4,8,1,4,1,146
241,26,198320.0,14,0,30,12,2,4,8,1,4,0,146
242,24,198772.0,13,0,40,9,2,4,8,1,4,0,146
243,55,104003.0,6,0,42,0,2,3,6,4,4,0,146
244,20,201322.0,9,0,10,11,2,4,10,3,4,1,146
245,80,109427.0,10,0,25,15,4,6,4,1,4,1,146
246,34,147919.0,13,0,50,9,2,4,8,1,4,1,146
247,67,101616.0,9,0,24,11,2,0,7,1,4,0,146
250,51,223240.0,9,0,45,11,2,2,3,0,4,1,146
251,20,204311.0,9,0,40,11,2,4,2,3,4,1,146
252,62,102044.0,12,0,40,7,2,2,6,5,4,0,146
253,32,142680.0,10,0,40,15,2,2,3,3,4,1,146
254,33,230948.0,10,0,40,15,2,4,3,1,4,0,146
255,36,181013.0,13,0,40,9,2,4,8,1,4,1,146
256,37,136698.0,13,0,40,9,2,2,8,5,4,0,146
257,22,147084.0,10,0,40,15,2,4,8,3,2,0,142
258,21,147084.0,10,0,40,15,2,4,8,3,2,0,142
259,21,147084.0,10,0,40,15,2,4,8,3,2,0,142
260,19,163407.0,10,0,40,15,2,4,8,3,2,0,142
261,58,104003.0,9,0,42,11,0,2,0,5,4,0,146
262,27,194056.0,9,0,40,11,0,4,0,3,4,1,146
263,66,140977.0,13,0,40,9,4,0,4,1,4,1,146
264,53,131197.0,14,0,40,12,2,2,4,0,4,1,146
265,62,155450.0,10,0,40,15,1,2,7,0,4,1,146
266,23,173568.0,13,0,40,9,2,4,6,1,4,1,146
267,52,151682.0,11,0,40,8,3,0,4,4,4,0,146
268,43,140824.0,9,0,40,11,2,2,0,0,4,1,146
269,39,222931.0,13,0,40,9,0,2,4,5,4,0,146
270,59,131250.0,9,0,40,11,0,2,0,0,4,1,146
272,46,120695.0,10,0,40,15,2,4,6,1,4,1,66
273,42,140824.0,9,0,45,11,3,4,9,4,4,1,146
274,31,147919.0,13,0,40,9,2,4,4,1,4,1,146
275,37,172694.0,13,0,40,9,2,4,4,1,4,0,146
276,58,157999.0,16,0,60,10,4,4,8,1,4,0,146
277,66,186685.0,13,0,50,9,4,2,4,0,4,1,146
278,53,104943.0,13,250,40,9,2,6,8,4,4,0,146
279,21,143049.0,10,0,10,15,2,4,6,3,4,1,146
281,51,117977.0,9,0,20,11,2,2,9,5,4,0,146
282,42,157923.0,10,0,40,15,2,4,8,1,4,1,146
283,37,222931.0,13,0,20,9,2,4,6,1,4,0,146
284,64,160798.0,13,0,30,9,2,2,8,5,4,0,146
285,62,175631.0,9,0,60,11,4,2,4,0,4,1,110
286,68,109918.0,13,0,40,9,0,3,8,1,4,1,146
287,37,127783.0,13,260,40,9,2,2,8,0,4,1,146
289,37,190064.0,10,0,40,15,2,0,6,2,4,0,146
290,49,165084.0,13,0,40,9,2,2,8,0,4,1,146
291,37,166577.0,10,0,30,15,2,4,4,1,4,0,146
292,42,150399.0,11,0,40,8,2,0,6,1,4,1,146
293,65,114004.0,11,0,20,8,2,2,10,0,4,1,146
294,60,204048.0,14,0,40,12,2,2,4,0,4,1,146
295,23,196989.0,10,0,10,15,2,4,10,3,4,1,146
296,21,196989.0,12,0,10,7,2,4,10,3,4,1,146
297,62,124513.0,11,0,45,8,3,2,4,0,4,1,29
298,26,164652.0,9,0,40,11,2,4,3,3,4,1,146
299,51,141066.0,13,0,40,9,2,2,8,5,4,0,146
300,35,214941.0,12,0,40,7,2,0,4,3,4,0,146
301,53,104943.0,14,0,40,12,0,2,8,5,4,0,146
302,59,229578.0,9,0,40,11,2,4,4,1,4,1,146
303,54,215239.0,13,0,40,9,2,4,8,1,4,1,146
304,51,161518.0,9,0,35,11,3,0,4,4,4,1,146
305,19,199147.0,10,0,24,15,2,4,6,3,4,0,146
306,51,146310.0,9,0,40,11,2,0,9,1,4,0,146
307,62,144570.0,13,0,40,9,2,0,6,1,4,1,146
309,31,134084.0,10,0,40,15,2,2,9,5,4,0,146
310,64,107685.0,14,0,45,12,0,2,4,0,4,1,146
311,25,141329.0,10,0,60,15,2,4,4,1,4,1,146
312,64,103826.0,9,0,70,11,0,2,7,0,4,1,146
313,63,142544.0,11,0,45,8,1,2,4,0,4,1,146
314,58,125521.0,12,0,30,7,2,6,6,1,0,0,146
315,37,139244.0,14,0,40,12,2,2,8,0,4,1,146
316,36,214941.0,13,0,50,9,2,2,4,5,4,0,146
317,46,120695.0,16,0,50,10,2,4,8,1,4,1,146
318,41,145009.0,13,0,40,9,1,2,8,0,4,1,146
319,61,155859.0,10,0,20,15,3,2,0,5,4,0,146
320,29,170772.0,9,0,40,11,2,4,2,3,4,1,146
321,25,170772.0,7,0,24,1,2,4,2,3,4,1,146
322,65,165089.0,13,0,35,9,1,6,8,1,4,0,29
323,56,159878.0,11,0,40,8,2,0,4,1,4,1,146
324,51,146310.0,13,0,36,9,2,0,8,1,4,0,146
325,53,119936.0,14,0,50,12,2,0,4,1,4,1,146
326,49,125181.0,14,0,40,12,1,1,8,0,4,1,146
327,59,122064.0,9,0,55,11,0,2,10,0,4,1,55
328,38,136698.0,9,0,40,11,2,4,8,1,4,0,146
329,63,102044.0,14,0,40,12,2,0,7,1,4,0,26
330,66,145997.0,9,0,32,11,2,2,0,5,4,0,146
331,61,114837.0,9,0,40,11,0,0,8,4,4,1,146
332,28,141329.0,9,0,40,11,0,4,7,3,4,1,146
333,39,139244.0,13,0,60,9,2,2,4,0,4,1,146
334,39,127783.0,11,0,40,8,3,0,8,1,4,1,146
335,28,177829.0,11,0,40,8,2,4,6,1,4,0,146
336,47,159168.0,10,0,45,15,2,2,9,0,4,1,146
337,21,155635.0,10,0,45,15,4,4,0,3,4,1,146
338,31,207086.0,14,0,40,12,1,2,8,5,4,0,99
339,37,144055.0,13,0,40,9,2,2,0,0,4,1,146
340,76,83288.0,13,30000,25,9,2,2,8,5,4,0,146
341,50,76865.0,9,0,40,11,2,0,10,1,4,1,146
342,42,88576.0,10,0,35,15,1,4,8,3,4,1,146
343,43,104144.0,10,0,50,15,4,0,4,1,4,1,146
344,32,102092.0,10,0,48,15,2,4,6,1,4,0,146
345,60,103217.0,11,11663,70,8,1,2,6,0,4,1,146
346,76,74801.0,15,0,20,14,3,0,4,1,4,1,146
347,70,96528.0,13,500,50,9,2,2,9,0,4,1,146
348,35,95524.0,9,0,40,11,2,4,6,4,4,0,146
349,30,98447.0,9,0,45,11,2,0,0,4,4,0,146
350,71,62009.0,10,100,16,15,4,2,6,5,4,0,146
351,65,67334.0,15,0,42,14,3,2,8,0,4,1,146
352,23,93151.0,13,0,28,9,2,4,6,3,1,1,135
353,22,93993.0,12,0,20,7,2,4,9,3,1,0,135
354,35,88496.0,10,0,40,15,2,5,10,4,4,1,146
355,52,75517.0,13,0,45,9,2,2,6,0,4,1,146
356,63,76102.0,13,0,40,9,2,3,8,1,4,1,146
357,29,141344.0,4,0,40,5,2,4,6,2,4,0,146
358,29,114400.0,14,0,40,12,2,4,5,1,4,1,146
359,39,88496.0,10,0,40,15,5,2,8,0,4,1,146
360,46,102494.0,11,0,36,8,2,0,6,4,4,0,146
361,54,97581.0,9,0,49,11,2,0,10,1,4,1,146
362,66,72382.0,11,0,8,8,2,2,8,5,4,0,146
364,39,95524.0,10,0,40,15,4,2,6,5,4,0,146
365,54,102182.0,10,0,28,15,2,2,0,5,4,0,146
366,49,78242.0,11,0,40,8,2,2,0,5,4,0,146
368,54,85162.0,9,0,40,11,2,0,0,1,4,0,146
369,63,79654.0,13,0,30,9,4,2,4,5,4,0,146
370,53,97581.0,14,0,50,12,1,2,4,0,4,1,146
371,31,102092.0,13,0,50,9,2,4,9,1,4,0,146
372,32,138624.0,12,0,40,7,2,4,6,4,4,0,146
374,37,107461.0,15,0,40,14,0,4,0,1,4,1,146
375,31,124193.0,14,0,45,12,2,0,4,1,4,0,146
376,63,79654.0,10,0,6,15,1,2,8,5,4,0,146
377,50,98534.0,9,450,38,11,5,2,8,5,4,0,146
378,68,93944.0,9,0,40,11,4,2,9,0,4,1,146
379,42,100809.0,10,0,60,15,2,6,7,1,4,1,146
381,42,92215.0,10,0,38,15,3,2,0,5,4,0,146
383,29,155986.0,13,0,40,9,2,4,0,1,4,0,146
384,64,93944.0,9,12000,50,11,4,0,7,1,4,1,146
385,53,98831.0,10,500,60,15,2,2,9,0,4,1,146
386,30,98799.0,12,0,40,7,2,4,8,3,4,1,146
387,51,89425.0,13,0,50,9,3,2,4,0,4,1,146
388,17,162043.0,7,0,15,1,2,4,9,3,4,0,146
389,61,84152.0,13,0,35,9,5,2,8,5,4,0,146
390,29,160916.0,13,0,45,9,0,4,8,3,4,1,146
391,64,88737.0,14,0,40,12,3,2,2,0,4,1,146
392,39,92716.0,13,0,40,9,5,2,8,5,4,0,47
393,55,84811.0,14,0,40,12,2,2,8,0,1,1,32
395,66,78827.0,9,0,45,11,2,6,8,1,4,0,146
396,28,114118.0,14,0,40,12,2,4,8,1,4,0,146
397,64,77995.0,15,0,40,14,2,6,8,1,4,0,146
398,48,81140.0,9,0,16,11,4,2,6,5,4,0,146
399,22,115172.0,9,0,5,11,4,4,10,3,4,1,146
400,46,90515.0,11,0,40,8,4,2,6,5,4,0,146
401,44,117406.0,14,0,40,12,1,0,8,4,4,0,146
403,45,90515.0,9,0,40,11,2,0,8,1,4,0,146
404,58,67752.0,11,0,45,8,2,2,9,0,4,1,146
405,41,130459.0,9,0,45,11,2,2,3,0,3,1,146
406,60,76781.0,9,0,52,11,2,2,8,0,4,1,146
407,67,69827.0,9,0,45,11,2,6,10,4,4,1,146
408,35,82411.0,6,0,40,0,2,4,10,3,4,1,146
409,60,79841.0,13,0,50,9,2,3,4,1,4,0,146
410,55,90569.0,9,0,45,11,1,2,0,5,4,0,146
411,42,100425.0,7,0,40,1,2,3,10,1,4,1,146
412,28,141344.0,13,0,40,9,2,2,4,5,4,0,146
413,39,124302.0,12,0,45,7,2,5,8,1,4,0,146
414,57,93923.0,14,0,38,12,5,2,4,5,4,0,146
415,35,99061.0,12,0,45,7,2,4,8,1,4,0,146
416,34,89433.0,9,0,40,11,2,4,6,1,4,1,146
417,65,79518.0,9,0,40,11,2,0,7,4,4,0,146
418,41,100425.0,9,0,10,11,2,4,10,3,4,1,146
419,49,74121.0,9,0,45,11,2,0,7,4,4,1,146
420,21,111060.0,9,0,40,11,2,4,7,3,4,1,146
421,29,141344.0,10,0,40,15,2,4,6,1,4,0,146
422,58,99532.0,9,0,40,11,2,2,10,0,4,1,146
423,22,99068.0,12,0,40,7,2,0,9,3,4,1,146
424,34,100778.0,12,0,70,7,2,4,4,4,4,0,146
426,57,89204.0,9,0,43,11,0,2,0,0,4,1,146
427,64,79654.0,13,0,40,9,2,0,4,1,4,0,146
428,59,99532.0,10,0,50,15,2,5,7,1,4,1,146
429,76,83396.0,12,0,3,7,1,6,0,4,4,0,146
430,48,88136.0,13,0,45,9,2,0,4,3,4,1,146
431,57,89204.0,10,0,32,15,2,2,2,0,4,1,146
432,24,170636.0,9,0,40,11,2,2,0,3,4,0,146
433,39,154652.0,14,0,30,12,2,0,8,4,4,0,146
434,34,138624.0,13,0,40,9,5,4,6,1,4,0,146
436,60,80042.0,10,0,40,15,2,2,3,0,4,1,146
437,32,86240.0,14,2500,45,12,2,2,4,0,4,1,146
438,51,89425.0,11,0,38,8,5,2,8,0,4,1,146
439,31,146905.0,12,0,38,7,5,2,4,0,4,1,146
440,33,124193.0,14,0,38,12,5,2,4,5,4,0,146
441,60,98148.0,10,0,40,15,2,2,7,0,4,1,146
442,24,102736.0,10,0,40,15,2,4,7,3,4,1,146
443,42,100425.0,15,0,40,14,2,2,8,0,4,1,146
444,27,161762.0,13,0,40,9,2,4,8,3,4,0,146
446,26,146578.0,9,0,24,11,2,4,6,3,4,0,146
447,23,130420.0,9,0,40,11,2,4,2,3,4,1,146
448,34,124193.0,9,0,18,11,2,2,6,5,4,0,146
449,41,132735.0,15,0,40,14,2,2,8,0,4,1,146
450,31,86240.0,9,0,70,11,2,4,4,1,4,1,146
451,27,114118.0,9,0,41,11,2,4,9,1,4,0,146
452,52,77864.0,14,0,40,12,2,2,4,5,4,0,146
453,52,98831.0,15,75000,25,14,4,2,9,0,4,1,146
454,22,106702.0,10,0,5,15,2,4,0,3,4,0,146
455,20,106702.0,10,0,20,15,2,4,6,3,4,0,146
456,40,92215.0,13,0,36,9,2,4,8,3,4,0,146
457,43,92215.0,13,0,40,9,2,6,4,4,4,0,146
458,23,130499.00000000001,13,0,40,9,2,4,9,3,4,0,146
460,50,72821.0,9,0,40,11,2,0,8,1,4,1,146
461,59,88478.0,11,0,40,8,2,2,8,5,4,0,146
462,39,95524.0,13,0,50,9,1,2,8,5,4,0,146
463,33,89433.0,9,0,40,11,2,4,7,4,4,1,146
464,60,82843.0,9,0,40,11,1,6,6,2,3,0,146
465,52,98831.0,10,0,50,15,2,0,3,4,4,1,146
466,19,100910.0,10,0,28,15,2,4,4,3,4,0,146
467,68,82462.0,9,0,23,11,5,6,0,1,4,0,146
468,28,114118.0,13,0,50,9,2,4,7,1,4,0,146
469,28,97877.0,13,0,40,9,5,4,8,1,4,1,146
470,25,102659.0,13,0,40,9,2,4,0,1,4,0,146
472,43,100425.0,13,0,40,9,2,4,8,1,4,1,146
473,56,92507.0,15,0,50,14,2,2,4,0,4,1,146
474,57,70260.0,14,0,50,12,2,2,9,0,4,1,146
475,30,102092.0,13,0,70,9,2,2,4,5,4,0,146
476,59,93923.0,11,0,12,8,2,0,8,4,4,0,146
478,58,79018.0,10,0,40,15,2,0,8,4,4,0,146
479,22,102892.0,12,0,28,7,2,4,9,3,4,0,146
480,34,98447.0,14,0,40,12,2,2,4,5,4,0,146
